metadata,icdcode,comorbidity
,E14.7,Diabetes - complicated
,E14.8,Diabetes - complicated
,E00.%,Hypothyroidism
,E01.%,Hypothyroidism
,E02.%,Hypothyroidism
,E03.%,Hypothyroidism
,E89.0,Hypothyroidism
,I12.0,Renal Failure
,I13.1,Renal Failure
,N18.%,Renal Failure
,NI9.%,Renal Failure
,N25.0,Renal Failure
,Z49.0,Renal Failure
,Z49.1,Renal Failure
,Z49.2,Renal Failure
,Z94.0,Renal Failure
,Z99.2,Renal Failure
,B18.%,Liver disease
,I85.%,Liver disease
,I86.4,Liver disease
,I98.2,Liver disease
,K70.%,Liver disease
,K71.1,Liver disease
,K71.3,Liver disease
,K71.4,Liver disease
,K71.5,Liver disease
,K71.7,Liver disease
,K72.%,Liver disease
,K73.%,Liver disease
,K74.%,Liver disease
,K76.0,Liver disease
,K76.2,Liver disease
,K76.3,Liver disease
,K76.4,Liver disease
,K76.5,Liver disease
,K76.6,Liver disease
,K76.7,Liver disease
,K76.8,Liver disease
,K76.9,Liver disease
,Z94.4,Liver disease
,K25.7,Peptic ulcer disease - excluding bleeding
,K25.9,Peptic ulcer disease - excluding bleeding
,K26.7,Peptic ulcer disease - excluding bleeding
,K26.9,Peptic ulcer disease - excluding bleeding
,K27.7,Peptic ulcer disease - excluding bleeding
,K27.9,Peptic ulcer disease - excluding bleeding
,K28.7,Peptic ulcer disease - excluding bleeding
,K28.9,Peptic ulcer disease - excluding bleeding
,B20.%,AIDS/HIV
,B21.%,AIDS/HIV
,B22.%,AIDS/HIV
,B24.%,AIDS/HIV
,C81.%,Lymphoma
,C82.%,Lymphoma
,C83.%,Lymphoma
,C84.%,Lymphoma
,C85.%,Lymphoma
,C88.%,Lymphoma
,C96.%,Lymphoma
,C90.0,Lymphoma
,C90.2,Lymphoma
,C77.%,Metastatic cancer
,C78.%,Metastatic cancer
,C79.%,Metastatic cancer
,C80.%,Metastatic cancer
,C00.%,Solid tumour without metastasis
,C01.%,Solid tumour without metastasis
,C02.%,Solid tumour without metastasis
,C03.%,Solid tumour without metastasis
,C04.%,Solid tumour without metastasis
,C05.%,Solid tumour without metastasis
,C06.%,Solid tumour without metastasis
,C07.%,Solid tumour without metastasis
,C08.%,Solid tumour without metastasis
,C09.%,Solid tumour without metastasis
,C10.%,Solid tumour without metastasis
,C11.%,Solid tumour without metastasis
,C12.%,Solid tumour without metastasis
,C13.%,Solid tumour without metastasis
,C14.%,Solid tumour without metastasis
,C15.%,Solid tumour without metastasis
,C16.%,Solid tumour without metastasis
,C17.%,Solid tumour without metastasis
,C18.%,Solid tumour without metastasis
,C19.%,Solid tumour without metastasis
,C20.%,Solid tumour without metastasis
,C21.%,Solid tumour without metastasis
,C22.%,Solid tumour without metastasis
,C23.%,Solid tumour without metastasis
,C24.%,Solid tumour without metastasis
,C25.%,Solid tumour without metastasis
,C26.%,Solid tumour without metastasis
